奇异轮播,#genre#
家庭剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_999_1080P_t10/c59_fast_999_1080P_t10.m3u8?d
都市生活,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c56_fast_878_1080P_t10/c56_fast_878_1080P_t10.m3u8?d
传奇剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_1052_1080P_t10/c54_fast_1052_1080P_t10.m3u8?d
警匪悬疑,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_880_1080P_t10/c58_fast_880_1080P_t10.m3u8?d
青春剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c57_fast_755_1080P_t10/c57_fast_755_1080P_t10.m3u8?d
古装大剧,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_879_1080P_t10/c55_fast_879_1080P_t10.m3u8?d
军旅剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_700_1080P_t10/c54_fast_700_1080P_t10.m3u8?d
抗战剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_884_1080P_t10/c54_fast_884_1080P_t10.m3u8?d
谍战剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c57_fast_882_1080P_t10/c57_fast_882_1080P_t10.m3u8?d
欢乐剧场,http://lvbdcdncmn.inter.ptqy.gitv.tv/tslive/c56_fast_951_1080P_t10/c56_fast_951_1080P_t10.m3u8?d
经典老剧,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_1051_1080P_t10/c55_fast_1051_1080P_t10.m3u8?d
乡村生活,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_1050_1080P_t10/c59_fast_1050_1080P_t10.m3u8?d
影视金曲,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c57_fast_1066_1080P_t10/c57_fast_1066_1080P_t10.m3u8?d
红色剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1049_1080P_t10/c60_fast_1049_1080P_t10.m3u8?d
甜宠剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_877_1080P_t10/c54_fast_877_1080P_t10.m3u8?d
电影大片,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c57_fast_738_1080P_t10/c57_fast_738_1080P_t10.m3u8?d
怀旧年代,http://lvbdcdncmn.inter.ptqy.gitv.tv/tslive/c59_fast_1134_1080P_t10/c59_fast_1134_1080P_t10.m3u8?d
爱情生活,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_967_1080P_t10/c59_fast_967_1080P_t10.m3u8?d
古装妖魔,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_947_1080P_t10/c58_fast_947_1080P_t10.m3u8?d
泰语剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_949_1080P_t10/c58_fast_949_1080P_t10.m3u8?d
搞笑剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_953_1080P_t10/c58_fast_953_1080P_t10.m3u8?d
乡村大剧 ,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_958_1080P_t10/c58_fast_958_1080P_t10.m3u8?d
大家剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_975_1080P_t10/c58_fast_975_1080P_t10.m3u8?d
校园生活,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_979_1080P_t10/c58_fast_979_1080P_t10.m3u8?d
青春剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_986_1080P_t10/c58_fast_986_1080P_t10.m3u8?d
四大名著,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1141_1080P_t10/c60_fast_1141_1080P_t10.m3u8?d
好片速递,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_1143_1080P_t10/c55_fast_1143_1080P_t10.m3u8?d
神剧亮了,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_702_1080P_t10/c55_fast_702_1080P_t10.m3u8?d
短剧精选，http://lvbdcdncmn.inter.ptqy.gitv.tv/tslive/c56_fast_1139_1080P_t10/c56_fast_1139_1080P_t10.m3u8?d
央视春晚,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_733_1080P_t10/c54_fast_733_1080P_t10.m3u8?d
央视元宵,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c56_fast_731_1080P_t10/c56_fast_731_1080P_t10.m3u8?d
相声小品,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_1044_1080P_t10/c59_fast_1044_1080P_t10.m3u8?d
